reg;semaine;cl_age90;Nb_tests_PCR_TA_crible;Prc_tests_PCR_TA_crible;Nb_susp_501Y_V1;Prc_susp_501Y_V1;Nb_susp_501Y_V2_3;Prc_susp_501Y_V2_3;Nb_susp_IND;Prc_susp_IND;Nb_susp_ABS;Prc_susp_ABS
84;2021-02-20-2021-02-26;49;1599;64;855;53.5;76;4.8;98;6.1;570;35.6
84;2021-02-20-2021-02-26;59;1634;66.9;802;49.1;70;4.3;98;6;664;40.6
84;2021-02-20-2021-02-26;69;1063;65.9;509;47.9;33;3.1;68;6.4;453;42.6
84;2021-02-20-2021-02-26;79;754;62.4;333;44.2;15;2;61;8.1;345;45.8
84;2021-02-20-2021-02-26;89;530;66.3;189;35.7;10;1.9;41;7.7;290;54.7
84;2021-02-20-2021-02-26;90;239;62.7;67;28;4;1.7;19;7.9;149;62.3
84;2021-02-21-2021-02-27;09;573;71.6;354;61.8;18;3.1;28;4.9;173;30.2
84;2021-02-21-2021-02-27;19;1649;69.4;857;52;66;4;114;6.9;612;37.1
84;2021-02-21-2021-02-27;29;1643;63.8;862;52.5;66;4;141;8.6;574;34.9
84;2021-02-21-2021-02-27;39;1641;62.5;852;51.9;60;3.7;96;5.9;633;38.6
84;2021-02-21-2021-02-27;49;1598;64.2;867;54.3;81;5.1;100;6.3;550;34.4
84;2021-02-21-2021-02-27;59;1622;66.7;817;50.4;66;4.1;106;6.5;633;39
84;2021-02-21-2021-02-27;69;1057;66.2;516;48.8;35;3.3;70;6.6;436;41.2
84;2021-02-21-2021-02-27;79;760;62.3;342;45;17;2.2;63;8.3;338;44.5
84;2021-02-21-2021-02-27;89;521;66.3;193;37;10;1.9;40;7.7;278;53.4
84;2021-02-21-2021-02-27;90;234;62.7;64;27.4;5;2.1;20;8.5;145;62
84;2021-02-22-2021-02-28;09;572;71.3;351;61.4;18;3.1;28;4.9;175;30.6
84;2021-02-22-2021-02-28;19;1646;69.5;855;51.9;64;3.9;114;6.9;613;37.2
84;2021-02-22-2021-02-28;29;1646;63.7;863;52.4;66;4;142;8.6;575;34.9
84;2021-02-22-2021-02-28;39;1647;63.1;859;52.2;58;3.5;96;5.8;634;38.5
84;2021-02-22-2021-02-28;49;1595;64.3;868;54.4;79;5;100;6.3;548;34.4
84;2021-02-22-2021-02-28;59;1612;66.4;810;50.2;67;4.2;106;6.6;629;39
84;2021-02-22-2021-02-28;69;1052;66.2;515;49;34;3.2;71;6.7;432;41.1
84;2021-02-22-2021-02-28;79;748;61.9;341;45.6;17;2.3;61;8.2;329;44
84;2021-02-22-2021-02-28;89;513;65.4;195;38;12;2.3;40;7.8;266;51.9
84;2021-02-22-2021-02-28;90;236;62.4;66;28;4;1.7;23;9.7;143;60.6
84;2021-02-23-2021-03-01;09;571;71.8;350;61.3;21;3.7;31;5.4;169;29.6
84;2021-02-23-2021-03-01;19;1570;69.7;822;52.4;69;4.4;112;7.1;567;36.1
84;2021-02-23-2021-03-01;29;1688;65.5;910;53.9;65;3.9;161;9.5;552;32.7
84;2021-02-23-2021-03-01;39;1621;65;907;56;62;3.8;108;6.7;544;33.6
84;2021-02-23-2021-03-01;49;1605;66.4;907;56.5;74;4.6;104;6.5;520;32.4
84;2021-02-23-2021-03-01;59;1569;66.7;834;53.2;66;4.2;108;6.9;561;35.8
84;2021-02-23-2021-03-01;69;1062;67.8;544;51.2;39;3.7;72;6.8;407;38.3
84;2021-02-23-2021-03-01;79;763;64.2;377;49.4;20;2.6;57;7.5;309;40.5
84;2021-02-23-2021-03-01;89;489;65.5;184;37.6;10;2;43;8.8;252;51.5
84;2021-02-23-2021-03-01;90;210;63.8;54;25.7;4;1.9;25;11.9;127;60.5
84;2021-02-24-2021-03-02;09;556;72;345;62.1;22;4;34;6.1;155;27.9
84;2021-02-24-2021-03-02;19;1501;68.7;806;53.7;57;3.8;111;7.4;527;35.1
84;2021-02-24-2021-03-02;29;1701;66;932;54.8;67;3.9;181;10.6;521;30.6
84;2021-02-24-2021-03-02;39;1576;64.8;917;58.2;67;4.3;113;7.2;479;30.4
84;2021-02-24-2021-03-02;49;1591;67.2;904;56.8;74;4.7;116;7.3;497;31.2
84;2021-02-24-2021-03-02;59;1533;66.2;839;54.7;62;4;114;7.4;518;33.8
84;2021-02-24-2021-03-02;69;1032;67.1;544;52.7;34;3.3;79;7.7;375;36.3
84;2021-02-24-2021-03-02;79;742;64.9;385;51.9;22;3;62;8.4;273;36.8
84;2021-02-24-2021-03-02;89;478;65.6;179;37.4;11;2.3;43;9;245;51.3
84;2021-02-24-2021-03-02;90;181;59.2;55;30.4;4;2.2;21;11.6;101;55.8
84;2021-02-25-2021-03-03;09;541;71.8;329;60.8;23;4.3;43;7.9;146;27
84;2021-02-25-2021-03-03;19;1436;67.9;816;56.8;58;4;105;7.3;457;31.8
84;2021-02-25-2021-03-03;29;1666;66.1;958;57.5;63;3.8;173;10.4;472;28.3
84;2021-02-25-2021-03-03;39;1590;66;976;61.4;63;4;120;7.5;431;27.1
84;2021-02-25-2021-03-03;49;1566;67.5;921;58.8;71;4.5;109;7;465;29.7
84;2021-02-25-2021-03-03;59;1487;65.6;842;56.6;53;3.6;115;7.7;477;32.1
84;2021-02-25-2021-03-03;69;984;67;553;56.2;38;3.9;68;6.9;325;33
84;2021-02-25-2021-03-03;79;726;63.7;388;53.4;26;3.6;56;7.7;256;35.3
84;2021-02-25-2021-03-03;89;445;64.2;178;40;10;2.2;40;9;217;48.8
84;2021-02-25-2021-03-03;90;164;58.6;56;34.1;5;3;19;11.6;84;51.2
84;2021-02-26-2021-03-04;09;552;71;346;62.7;23;4.2;44;8;139;25.2
84;2021-02-26-2021-03-04;19;1420;66.6;850;59.9;58;4.1;99;7;413;29.1
84;2021-02-26-2021-03-04;29;1621;65;986;60.8;65;4;164;10.1;406;25
84;2021-02-26-2021-03-04;39;1564;64.7;990;63.3;70;4.5;106;6.8;398;25.4
84;2021-02-26-2021-03-04;49;1536;66.3;940;61.2;64;4.2;99;6.4;433;28.2
84;2021-02-26-2021-03-04;59;1422;65.4;843;59.3;48;3.4;102;7.2;429;30.2
84;2021-02-26-2021-03-04;69;979;66.7;567;57.9;38;3.9;66;6.7;308;31.5
84;2021-02-26-2021-03-04;79;680;62.8;376;55.3;24;3.5;45;6.6;235;34.6
84;2021-02-26-2021-03-04;89;413;60.8;170;41.2;11;2.7;42;10.2;190;46
84;2021-02-26-2021-03-04;90;175;59.9;66;37.7;5;2.9;19;10.9;85;48.6
84;2021-02-27-2021-03-05;09;514;64.5;320;62.3;22;4.3;45;8.8;127;24.7
84;2021-02-27-2021-03-05;19;1303;62;813;62.4;38;2.9;93;7.1;359;27.6
84;2021-02-27-2021-03-05;29;1553;61.9;968;62.3;52;3.3;159;10.2;374;24.1
84;2021-02-27-2021-03-05;39;1482;60.8;960;64.8;70;4.7;93;6.3;359;24.2
84;2021-02-27-2021-03-05;49;1410;62.1;894;63.4;51;3.6;87;6.2;378;26.8
84;2021-02-27-2021-03-05;59;1297;60.6;806;62.1;44;3.4;88;6.8;359;27.7
84;2021-02-27-2021-03-05;69;893;61.8;538;60.2;36;4;59;6.6;260;29.1
84;2021-02-27-2021-03-05;79;623;57.5;359;57.6;24;3.9;37;5.9;203;32.6
84;2021-02-27-2021-03-05;89;379;57.5;160;42.2;13;3.4;38;10;168;44.3
84;2021-02-27-2021-03-05;90;162;58.5;64;39.5;5;3.1;18;11.1;75;46.3
84;2021-02-12-2021-02-18;0;9098;56.7;3683;40.5;276;3;405;4.5;4734;52
84;2021-02-13-2021-02-19;0;10168;62;4112;40.4;309;3;507;5;5240;51.5
84;2021-02-14-2021-02-20;0;10560;63.7;4336;41.1;321;3;518;4.9;5385;51
84;2021-02-15-2021-02-21;0;10639;64;4368;41.1;331;3.1;523;4.9;5417;50.9
84;2021-02-16-2021-02-22;0;10895;64.8;4744;43.5;345;3.2;537;4.9;5269;48.4
84;2021-02-17-2021-02-23;0;11175;65.6;5086;45.5;360;3.2;579;5.2;5150;46.1
84;2021-02-18-2021-02-24;0;11368;65.4;5360;47.1;370;3.3;633;5.6;5005;44
84;2021-02-19-2021-02-25;0;11469;65.5;5521;48.1;391;3.4;736;6.4;4821;42
84;2021-02-20-2021-02-26;0;11368;65.5;5658;49.8;426;3.7;748;6.6;4536;39.9
84;2021-02-21-2021-02-27;0;11300;65.4;5724;50.7;424;3.8;780;6.9;4372;38.7
84;2021-02-22-2021-02-28;0;11269;65.4;5723;50.8;419;3.7;783;6.9;4344;38.5
84;2021-02-23-2021-03-01;0;11150;66.7;5889;52.8;430;3.9;823;7.4;4008;35.9
84;2021-02-24-2021-03-02;0;10893;66.5;5906;54.2;420;3.9;876;8;3691;33.9
84;2021-02-25-2021-03-03;0;10607;66.4;6017;56.7;410;3.9;850;8;3330;31.4
